codigo,tipo,instrumento_controlado,finalidade,periodicidade
GBR-SO-001,Gabarito,TRUE,gabarito,730
GBR-SO-002,Gabarito,TRUE,gabarito,730
GBR-SO-003,Gabarito,TRUE,gabarito,730
GBR-SO-004,Gabarito,TRUE,gabarito,730
GBR-SO-005,Gabarito,TRUE,gabarito,730
GBR-SO-006,Gabarito,TRUE,gabarito,730
GBR-SO-007,Gabarito,TRUE,gabarito,730
GBR-SO-008,Gabarito,TRUE,gabarito,730
GBR-SO-009,Gabarito,TRUE,gabarito,730
GBR-SO-010,Gabarito,TRUE,gabarito,730
GBR-SO-011,Gabarito,TRUE,gabarito,730
GBR-SO-012,Gabarito,TRUE,gabarito,730
GBR-SO-013,Gabarito,TRUE,gabarito,730
GBR-SO-014,Gabarito,TRUE,gabarito,730
GBR-SO-015,Gabarito,TRUE,gabarito,730
GBR-SO-016,Gabarito,TRUE,gabarito,730
GBR-SO-017,Gabarito,TRUE,gabarito,730
GBR-SO-018,Gabarito,TRUE,gabarito,730
GBR-SO-019,Gabarito,TRUE,gabarito,730
GBR-SO-020,Gabarito,TRUE,gabarito,730
GBR-SO-021,Gabarito,TRUE,gabarito,730
GBR-SO-022,Gabarito,TRUE,gabarito,730
GBR-SO-023,Gabarito,TRUE,gabarito,730
GBR-SO-024,Gabarito,TRUE,gabarito,730
GBR-SO-025,Gabarito,TRUE,gabarito,730
GBR-SO-026,Gabarito,TRUE,gabarito,730
GBR-SO-027,Gabarito,TRUE,gabarito,730
GBR-SO-028,Gabarito,TRUE,gabarito,730
GBR-SO-029,Gabarito,TRUE,gabarito,730
GBR-SO-030,Gabarito,TRUE,gabarito,730
GBR-SO-033,Gabarito,TRUE,gabarito,730
GBR-SO-034,Gabarito,TRUE,gabarito,730
GBR-SO-035,Gabarito,TRUE,gabarito,730
GBR-SO-036,Gabarito,TRUE,gabarito,730
GBR-SO-037,Gabarito,TRUE,gabarito,730
GBR-SO-038,Gabarito,TRUE,gabarito,730
GBR-SO-039,Gabarito,TRUE,gabarito,730
GBR-SO-041,Gabarito,TRUE,gabarito,730
GBR-SO-042,Gabarito,TRUE,gabarito,730
GBR-SO-043,Gabarito,TRUE,gabarito,730
GBR-SO-044,Gabarito,TRUE,gabarito,730
GBR-SO-045,Gabarito,TRUE,gabarito,730
GBR-SO-046,Gabarito,TRUE,gabarito,730
GBR-SO-047,Gabarito,TRUE,gabarito,730
GBR-SO-048,Gabarito,TRUE,gabarito,730
GBR-SO-049,Gabarito,TRUE,gabarito,730
GBR-SO-050,Gabarito,TRUE,gabarito,730
GBR-SO-051,Gabarito,TRUE,gabarito,730
GBR-SO-052,Gabarito,TRUE,gabarito,730
GBR-SO-053,Gabarito,TRUE,gabarito,730
GBR-SO-054,Gabarito,TRUE,gabarito,730
GBR-SO-055,Gabarito,TRUE,gabarito,730
GBR-SO-056,Gabarito,TRUE,gabarito,730
GBR-SO-057,Gabarito,TRUE,gabarito,730
GBR-SO-058,Gabarito,TRUE,gabarito,730
GBR-SO-059,Gabarito,TRUE,gabarito,730
GBR-SO-060,Gabarito,TRUE,gabarito,730
GBR-SO-061,Gabarito,TRUE,gabarito,730
GBR-SO-062,Gabarito,TRUE,gabarito,730
GBR-SO-063,Gabarito,TRUE,gabarito,730
GBR-SO-064,Gabarito,TRUE,gabarito,730
GBR-SO-065,Gabarito,TRUE,gabarito,730
GBR-SO-066,Gabarito,TRUE,gabarito,730
GBR-SO-067,Gabarito,TRUE,gabarito,730
GBR-SO-068,Gabarito,TRUE,gabarito,730
GBR-SO-069,Gabarito,TRUE,gabarito,730
GBR-SO-070,Gabarito,TRUE,gabarito,730
GBR-SO-071,Gabarito,TRUE,gabarito,730
GBR-SO-072,Gabarito,TRUE,gabarito,730
GBR-SO-073,Gabarito,TRUE,gabarito,730
GBR-SO-074,Gabarito,TRUE,gabarito,730
GBR-SO-075,Gabarito,TRUE,gabarito,730
GBR-SO-076,Gabarito,TRUE,gabarito,730
GBR-SO-077,Gabarito,TRUE,gabarito,730
GBR-SO-078,Gabarito,TRUE,gabarito,730
GBR-SO-079,Gabarito,TRUE,gabarito,730
GBR-SO-080,Gabarito,TRUE,gabarito,730
GBR-SO-081,Gabarito,TRUE,gabarito,730
GBR-SO-082,Gabarito,TRUE,gabarito,730
GBR-SO-083,Gabarito,TRUE,gabarito,730
GBR-SO-084,Gabarito,TRUE,gabarito,730
GBR-SO-085,Gabarito,TRUE,gabarito,730
GBR-SO-086,Gabarito,TRUE,gabarito,730
GBR-SO-087,Gabarito,TRUE,gabarito,730
GBR-SO-088,Gabarito,TRUE,gabarito,730
GBR-SO-089,Gabarito,TRUE,gabarito,730
GBR-SO-090,Gabarito,TRUE,gabarito,730
GBR-SO-091,Gabarito,TRUE,gabarito,730
GBR-SO-092,Gabarito,TRUE,gabarito,730
